tconst,titleType,originalTitle,title,startYear,runtimeMinutes,averageRating,numVotes,Main_genre,Sub_genre_1,Sub_genre_2,Directors,birthYear,deathYear,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5
tt0101764,movie,Double Impact,Double Impact,1991,110,5.6,38398.0,Crime,Action,,Sheldon Lettich,1951.0,0.0,Terry Carr,Eugene Choy,Ching Wai Chung,Joel Douglas,Michael Gfelner
tt0101765,movie,La double vie de Véronique,La choriste,1991,98,7.8,43374.0,Music,Fantasy,Drama,Krzysztof Kieslowski,1941.0,1996.0,Michele D'Attoma,Roger Di Ponio,Emmanuelle Dubarry,Sandrine Dumas,Jean-Claude Gage
tt0101775,movie,Drop Dead Fred,Fais de l'air Fred,1991,103,6.0,27196.0,Fantasy,Drama,Comedy,Ate de Jong,1953.0,0.0,Tom Bethke,Phillip Billey,Sjoukje De Jong Douma,David Doyle,Tamara Guthrie
tt0101787,movie,Dying Young,Le choix d'aimer,1991,111,6.1,15141.0,Romance,Drama,,Joel Schumacher,1939.0,2020.0,Behrooz Afrakhan,Greg Gerard,Fran Lucci,Solly Marx,Pliny Porter
tt0101829,movie,Europa,Europa,1991,112,7.6,20029.0,Thriller,Drama,,Lars von Trier,1956.0,0.0,Henning Bahs,François Duplat,Sanne Gravfort,Ernst-Hugo Järegård,Ole Kofoed
tt0101862,movie,Father of the Bride,Le père de la mariée,1991,105,6.5,69788.0,Romance,Family,Comedy,Charles Shyer,1941.0,0.0,Jane Alden,Carolyn Bahr,Irene Brafstein,Gibby Brand,Peter James Cooper
tt0101889,movie,The Fisher King,Fisher King - Le roi pêcheur,1991,137,7.5,80278.0,Fantasy,Drama,Comedy,Terry Gilliam,1940.0,0.0,Paul Ary,Joe Bird,Lisa Blades,Peter Corby,Bonnie Happy
tt0101912,movie,Frankie and Johnny,Frankie & Johnny,1991,118,6.8,29598.0,Romance,Drama,Comedy,Garry Marshall,1934.0,2016.0,Ronny Hallin,Steve Yaconelli,Nandi Bowe,Suzette Boyd,Lucinda Crosby
tt0101921,movie,Fried Green Tomatoes,Beignets de tomates vertes,1991,130,7.7,67807.0,Drama,,,Jon Avnet,1949.0,0.0,Taylor Dayne,Arthur Baker,Tony Bradley,Tom Bradley,Haynes Brooke
tt0102004,movie,The Hard Way,La manière forte,1991,111,6.4,18972.0,Crime,Comedy,Action,John Badham,1939.0,0.0,Paul Dale,Dan Ditolla,Rand Foerster,Ernie Foster,Jordanna Freedman
tt0102005,movie,Harley Davidson and the Marlboro Man,Harley Davidson et l'homme aux santiags,1991,98,6.2,18794.0,Drama,Crime,Action,Simon Wincer,1943.0,0.0,Missy Alpern,Rhonda Bingham,Art Brouillard,Fernando Castroman,Stan Chambers
tt0102015,movie,Hearts of Darkness: A Filmmaker's Apocalypse,Aux coeurs des ténèbres - l'apocalypse d'un metteur en scène,1991,96,8.1,19379.0,Documentary,,,,,,George Zaloom,Fax Bahr,Peter Bettendorff,Larry Carney,George Zaloom
tt0102057,movie,Hook,Hook ou la revanche du Capitaine Crochet,1991,142,6.8,237615.0,Family,Comedy,Adventure,Steven Spielberg,1946.0,0.0,Charlie Korsmo,Phil Collins,David Clayton Miller,Suella Kennedy,David Crosby
tt0102059,movie,Hot Shots!,Hot Shots!,1991,84,6.8,100399.0,Comedy,Action,,Jim Abrahams,1944.0,0.0,John Bankson,Cary Brayboy,Jeff Bright,Paul 'Doc' Byrd,Kelly Connell
